batter,strike_rate
"KMA Paul",69.2308
"A Mishra",88.2927
"I Sharma",88.7097
"MJ Guptill",137.5635
"Basil Thampi",86.4865
"YK Pathan",138.0463
"PA Patel",116.6257
"C de Grandhomme",132.3144
"STR Binny",125.7143
"IS Sodhi",38.8889
"CA Ingram",112.0219
"H Klaasen",113.7931
"P Negi",121.2625
"BB Sran",71.4286
"AJ Turner",27.2727
"DR Shorey",65.0000
"CR Brathwaite",150.8333
"AD Nath",90.9091
"GC Viljoen",42.8571
"Y Prithvi Raj",0.0000
"KC Cariappa",114.2857
"BCJ Cutting",163.0137
"RK Bhui",38.8889
"JL Denly",0.0000
"SD Lad",115.3846
"HF Gurney",20.0000
"Yuvraj Singh",124.7848
"MM Sharma",101.6667
"GH Vihari",85.8006
"S Lamichhane",0.0000
"P Ray Barman",76.0000
"M Markande",90.0000
"JPR Scantlebury-Searles",133.3333
"MK Tiwary",113.8348
"AD Hales",124.3697
"Anureet Singh",76.5957
"DJM Short",112.7451
"P Chopra",133.3333
"JP Duminy",120.7738
"NV Ojha",114.2647
"BB McCullum",126.8486
"LE Plunkett",33.3333
"MG Johnson",99.4048
"CJ Anderson",123.3945
"G Gambhir",119.6652
"B Laughlin",38.4615
"A Dananjaya",80.0000
"B Stanlake",250.0000
"R Vinay Kumar",107.2664
"MA Wood",20.0000
"LMP Simmons",122.8929
"KV Sharma",111.2281
"IR Jaggi",76.0000
"Bipul Sharma",150.8065
"SL Malinga",85.4369
"Vishnu Vinod",73.0769
"TM Head",135.7616
"MN Samuels",92.5287
"Z Khan",82.9787
"SE Marsh",130.1098
"Swapnil Singh",60.0000
"DR Smith",132.2795
"JP Faulkner",129.8030
"Ankit Soni",77.7778
"P Kumar",105.2632
"MM Patel",95.1220
"HM Amla",138.0383
"S Aravind",100.0000
"S Badree",52.0000
"A Choudhary",125.0000
"IK Pathan",116.7513
"AR Bawne",100.0000
"DM Bravo",120.0000
"AP Tare",118.9474
"AD Mathews",120.8681
"Ankit Sharma",126.0870
"R Bhatia",117.9310
"A Zampa",62.5000
"AB Dinda",52.0000
"Iqbal Abdulla",102.3256
"ER Dwivedi",160.0000
"R Sathish",114.4068
"SB Jakati",93.3333
"F Behardien",107.6923
"KJ Abbott",162.5000
"UT Khawaja",120.9524
"GJ Bailey",120.1087
"NLTC Perera",130.0613
"M Morkel",135.4839
"PV Tambe",46.1538
"S Kaushik",0.0000
"UBT Chand",95.5414
"A Nehra",65.0794
"PSP Handscomb",50.0000
"A Ashish Reddy",142.8571
"Parvez Rasool",85.0000
"JA Morkel",136.9382
"KP Pietersen",132.0580
"KW Richardson",92.3077
"P Sahu",146.1538
"D Wiese",135.1064
"MEK Hussey",119.9636
"MA Starc",97.9592
"Azhar Mahmood",124.7588
"BE Hendricks",33.3333
"RS Bopara",113.4615
"J Botha",112.3626
"GB Hogg",100.0000
"Karanveer Singh",70.5882
"RN ten Doeschate",136.9748
"NJ Maddinson",95.2381
"V Sehwag",148.8271
"J Theron",76.9231
"DJ Muthuswami",33.3333
"MS Bisla",108.2768
"RR Rossouw",103.9216
"AN Ahmed",133.3333
"RG More",100.0000
"DJG Sammy",117.5299
"CM Gautam",106.9620
"DJ Hussey",120.0727
"PP Ojha",35.5556
"BJ Hodge",121.4224
"Y Venugopal Rao",113.8728
"S Anirudha",112.3967
"YV Takawale",104.9180
"VH Zol",111.5385
"S Rana",110.9756
"KK Cooper",165.7143
"VS Malik",100.0000
"M de Lange",50.0000
"Shivam Sharma",166.6667
"WD Parnell",78.7500
"LRPL Taylor",120.0708
"R Shukla",82.6087
"DH Yagnik",119.7183
"M Manhas",105.7613
"LR Shukla",113.1285
"L Balaji",72.0000
"JH Kallis",105.9363
"BR Dunk",111.1111
"CA Pujara",96.7742
"R Rampaul",98.0769
"AM Nayar",114.2857
"S Badrinath",115.7430
"R Dravid",113.3472
"CL White",125.4522
"BB Samantray",107.7586
"P Dogra",90.0709
"LJ Wright",168.2540
"RV Gomez",94.3396
"DPMD Jayawardene",118.7911
"B Chipli",109.3750
"BJ Rohrer",132.1918
"AC Gilchrist",133.0547
"SK Trivedi",68.8525
"RE van der Merwe",110.4167
"DB Das",113.8577
"SMSM Senanayake",58.8235
"SR Tendulkar",114.1879
"MC Juneja",93.2836
"AB Agarkar",111.8750
"LA Pomersbach",120.3187
"A Mithun",130.7692
"M Kartik",103.6697
"Harmeet Singh",150.0000
"P Awana",35.7143
"UA Birla",46.6667
"M Rawat",78.5714
"K Upadhyay",133.3333
"MS Gony",130.2632
"KC Sangakkara",118.4691
"R McLaren",89.3258
"PA Reddy",98.2036
"BMAJ Mendis",85.1852
"OA Shah",124.9383
"TL Suman",115.1618
"BAW Mendis",50.0000
"R Sharma",85.7143
"S Narwal",127.5862
"B Lee",121.5686
"A Mukund",82.6087
"TM Dilshan",110.1242
"KB Arun Karthik",96.2264
"J Syed Mohammad",107.4074
"X Thalaivan Sargunam",58.8235
"AG Murtaza",71.4286
"IC Pandey",0.0000
"A Chandila",57.1429
"S Sreesanth",59.6491
"SW Tait",88.4615
"PC Valthaty",116.8981
"AD Mascarenhas",100.0000
"RT Ponting",70.5426
"AB McDonald",119.4175
"RJ Harris",104.4643
"DB Ravi Teja",115.3846
"MDKJ Perera",107.6923
"AL Menaria",109.2643
"Sunny Gupta",0.0000
"JEC Franklin",105.8252
"RP Singh",66.6667
"M Muralitharan",66.6667
"P Parameswaran",33.3333
"JD Ryder",129.6137
"MJ Clarke",102.0833
"SC Ganguly",101.7345
"AP Majumdar",112.9870
"CJ Ferguson",82.3529
"Harpreet Singh",76.9231
"SD Chitnis",107.6087
"N Saini",97.9021
"HH Gibbs",105.8542
"Y Nagar",105.1661
"MD Mishra",111.2676
"AC Thomas",105.2632
"DJ Harris",107.7670
"AA Jhunjhunwala",99.5413
"AUK Pathan",150.0000
"RJ Peterson",100.0000
"AA Chavan",109.0909
"V Pratap Singh",0.0000
"RE Levi",112.1622
"DL Vettori",102.5424
"KMDN Kulasekara",166.6667
"AC Blizzard",131.8681
"DJ Jacobs",91.0891
"CJ McKay",53.3333
"M Kaif",100.3876
"BA Bhatt",85.7143
"RR Bhatkal",0.0000
"A Singh",20.0000
"DAJ Bracewell",133.3333
"DE Bollinger",91.3043
"Y Gnaneswara Rao",105.5556
"JJ van der Wath",105.8824
"CK Langeveldt",88.8889
"S Sohal",118.3280
"FY Fazal",102.2346
"PR Shah",94.8454
"JDP Oram",96.3636
"SK Warne",90.4110
"ND Doshi",0.0000
"S Sriram",81.5789
"JR Hopes",132.8025
"TR Birt",127.1186
"MJ Lumb",140.4040
"A Symonds",124.7119
"MV Boucher",123.8994
"AS Raut",112.7907
"SJ Srivastava",100.0000
"M Klinger",93.5897
"RR Powar",104.6875
"Sunny Singh",138.7097
"L Ablish",0.0000
"I Malhotra",175.0000
"GC Smith",106.9465
"SB Wagh",66.6667
"NL McCullum",113.0435
"B Akhil",133.3333
"TD Paine",34.4828
"JE Taylor",75.0000
"VVS Laxman",104.0590
"BJ Haddin",163.6364
"Joginder Sharma",120.0000
"S Randiv",50.0000
"SA Asnodkar",120.1705
"AG Paunikar",80.3279
"R Ninan",50.0000
"NJ Rimmington",100.0000
"SB Styris",97.7612
"ML Hayden",131.9428
"CRD Fernando",133.3333
"Anirudh Singh",91.3043
"B Sumanth",92.1053
"A Kumble",71.4286
"WPUJC Vaas",110.9589
"PD Collingwood",127.6730
"AC Voges",126.5734
"Pankaj Singh",58.3333
"C Madan",71.4286
"KP Appanna",50.0000
"ST Jayasuriya",134.0314
"AP Dole",147.8261
"MF Maharoof",142.7419
"AB Barath",97.6744
"T Thushara",63.1579
"RS Sodhi",200.0000
"AA Bilakhia",78.4091
"Jaskaran Singh",72.7273
"K Goel",91.2134
"KAJ Roach",111.1111
"S Ladda",0.0000
"DP Nannes",30.7692
"JM Kemp",104.0000
"DR Martyn",73.0769
"RS Gavaskar",25.0000
"SE Bond",50.0000
"A Uniyal",57.1429
"S Tyagi",75.0000
"YA Abdulla",0.0000
"Mohammad Ashraful",16.6667
"SM Katich",126.1780
"WA Mota",73.6842
"RJ Quiney",98.0952
"NK Patel",97.5806
"T Henderson",68.7500
"Yashpal Singh",70.1493
"SS Shaikh",85.7143
"Mashrafe Mortaza",100.0000
"C Nanda",0.0000
"Shoaib Ahmed",16.6667
"AN Ghosh",87.5000
"LA Carseldine",114.0845
"MN van Wyk",123.7037
"SM Harwood",64.2857
"L Ronchi",91.8919
"RR Raje",111.1111
"W Jaffer",100.7752
"D du Preez",76.9231
"R Bishnoi",111.7647
"TM Srivastava",72.7273
"GR Napier",93.7500
"FH Edwards",80.0000
"SB Bangar",84.4828
"A Flintoff",108.7719
"T Kohli",55.0000
"A Chopra",70.6667
"Kamran Khan",60.0000
"S Vidyut",126.0870
"CK Kapugedera",66.6667
"Kamran Akmal",164.1026
"Sohail Tanvir",116.1290
"Mohammad Asif",50.0000
"VY Mahesh",53.5714
"GD McGrath",80.0000
"AS Yadav",122.5000
"Shahid Afridi",176.0870
"SP Fleming",114.6199
"SM Pollock",126.7241
"Salman Butt",112.2093
"Umar Gul",205.2632
Misbah-ul-Haq,142.6829
"LPC Silva",148.1481
"M Ntini",57.8947
"VS Yeligati",100.0000
"Mohammad Hafeez",76.1905
"DJ Thornely",72.2222
"H Das",40.0000
"DNT Zoysa",122.2222
"J Arunkumar",95.8333
"DT Patil",100.0000
"Abdur Razzak",0.0000
"Shoaib Malik",106.1224
"Shoaib Akhtar",25.0000
"PM Sarvesh Kumar",50.0000
"DP Vijaykumar",100.0000
"Younis Khan",42.8571
"D Salunkhe",137.5000
"T Taibu",119.2308
"RR Sarwan",93.5897
"VRV Singh",133.3333
"U Kaul",0.0000
"S Chanderpaul",75.7576
"D Kalyankrishna",37.5000
"MA Khote",109.0909
"SB Joshi",37.5000
"DS Lehmann",94.7368
"AA Noffke",75.0000
